policy_state,policy_csl,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,auto_make,auto_model,fraud_reported
OH,100/300,FEMALE,High School,exec-managerial,skydiving,other-relative,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,5971 5th Hwy,3,YES,1,2,YES,Audi,A3,N
OH,500/1000,MALE,MD,protective-serv,reading,wife,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,6655 5th Drive,1,YES,1,0,NO,Saab,95,N
OH,100/300,FEMALE,MD,armed-forces,bungie-jumping,wife,Parked Car,Front Collision,Minor Damage,None,SC,Springfield,6582 Elm Lane,1,NO,1,1,NO,Toyota,Highlander,N
OH,250/500,FEMALE,College,machine-op-inspct,board-games,not-in-family,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Springfield,6851 3rd Drive,1,NO,0,2,YES,Dodge,Neon,Y
IN,100/300,FEMALE,MD,transport-moving,movies,other-relative,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,9573 Weaver Ave,4,YES,0,0,NO,Accura,MDX,Y
OH,500/1000,MALE,College,machine-op-inspct,hiking,own-child,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,5074 3rd St,3,NO,1,2,YES,Nissan,Maxima,N
IN,500/1000,MALE,High School,machine-op-inspct,reading,unmarried,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,4546 Tree St,1,NO,0,2,YES,Suburu,Legacy,N
OH,500/1000,FEMALE,MD,craft-repair,yachting,other-relative,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,3842 Solo Ridge,1,YES,1,0,NO,Accura,TL,N
IN,500/1000,FEMALE,High School,handlers-cleaners,camping,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,8101 3rd Ridge,3,NO,2,0,NO,Nissan,Pathfinder,N
IN,250/500,MALE,JD,other-service,bungie-jumping,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,5380 Pine St,3,NO,1,0,NO,Suburu,Impreza,N
IL,500/1000,FEMALE,Associate,machine-op-inspct,skydiving,own-child,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,8957 Weaver Drive,3,NO,1,2,NO,Accura,RSX,N
IL,100/300,MALE,High School,prof-specialty,paintball,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Hillsdale,2526 Embaracadero Ave,3,NO,0,0,YES,Suburu,Forrestor,Y
IN,100/300,MALE,MD,priv-house-serv,chess,own-child,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,5667 4th Drive,1,NO,2,2,NO,Dodge,RAM,Y
IN,100/300,MALE,College,craft-repair,kayaking,husband,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,2502 Apache Hwy,1,NO,1,3,NO,Ford,Escape,N
OH,100/300,MALE,Masters,sales,polo,own-child,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,3418 Texas Lane,3,NO,1,3,YES,Ford,Escape,Y
IN,100/300,MALE,High School,prof-specialty,golf,own-child,Parked Car,Front Collision,Minor Damage,Police,PA,Arlington,2533 Elm St,1,YES,1,3,YES,Toyota,Camry,N
IN,100/300,MALE,JD,exec-managerial,chess,not-in-family,Vehicle Theft,Rear Collision,Minor Damage,None,VA,Northbrook,3790 Andromedia Hwy,1,YES,2,1,NO,Suburu,Forrestor,Y
OH,100/300,FEMALE,JD,sales,kayaking,not-in-family,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,3220 Rock Drive,1,NO,1,0,YES,Dodge,Neon,N
IL,500/1000,FEMALE,PhD,machine-op-inspct,basketball,unmarried,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,2100 Francis Drive,1,NO,2,2,NO,Accura,TL,N
IL,250/500,MALE,Masters,prof-specialty,video-games,husband,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,4687 5th Drive,4,NO,0,0,NO,Toyota,Corolla,N
IL,100/300,MALE,JD,craft-repair,reading,husband,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,9038 2nd Lane,3,NO,2,2,NO,Ford,F150,Y
IL,500/1000,FEMALE,Associate,adm-clerical,yachting,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,6092 5th Ave,3,YES,2,3,NO,BMW,3 Series,N
IL,100/300,MALE,High School,farming-fishing,video-games,wife,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,8353 Britain Ridge,3,NO,1,2,NO,Suburu,Impreza,N
IL,500/1000,MALE,PhD,prof-specialty,yachting,own-child,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,3540 Maple St,1,YES,0,1,YES,Audi,A3,N
OH,100/300,MALE,High School,craft-repair,reading,not-in-family,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,3104 Sky Drive,1,YES,2,0,YES,Mercedes,C300,Y
IL,100/300,FEMALE,Masters,protective-serv,camping,unmarried,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbrook,4981 Weaver St,1,NO,1,1,YES,Suburu,Forrestor,Y
IL,500/1000,FEMALE,JD,priv-house-serv,golf,unmarried,Parked Car,Rear Collision,Minor Damage,None,WV,Arlington,6676 Tree Lane,1,NO,1,1,YES,Suburu,Legacy,N
IN,500/1000,FEMALE,MD,craft-repair,bungie-jumping,unmarried,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,3930 Embaracadero St,3,NO,2,0,NO,Jeep,Wrangler,N
IN,250/500,MALE,JD,tech-support,video-games,wife,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Columbus,3422 Flute St,1,NO,0,3,NO,Nissan,Pathfinder,Y
IL,100/300,MALE,Associate,tech-support,kayaking,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,4862 Lincoln Hwy,1,NO,2,2,NO,BMW,M5,N
IN,250/500,MALE,Associate,transport-moving,chess,unmarried,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,5719 2nd Lane,1,NO,1,1,NO,BMW,X5,Y
IL,500/1000,FEMALE,College,prof-specialty,hiking,husband,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,3221 Solo Ridge,3,YES,1,0,NO,Dodge,RAM,N
OH,250/500,FEMALE,PhD,transport-moving,reading,own-child,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,6660 MLK Drive,1,NO,2,2,NO,Mercedes,E400,N
IL,100/300,MALE,JD,priv-house-serv,reading,unmarried,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,1699 Oak Drive,1,YES,0,2,NO,Toyota,Highlander,N
IL,250/500,FEMALE,MD,protective-serv,yachting,husband,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,4234 Cherokee Lane,3,NO,2,3,NO,Accura,MDX,N
IN,100/300,FEMALE,Associate,other-service,polo,husband,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,7476 4th St,3,YES,1,1,NO,Honda,Civic,N
OH,500/1000,MALE,College,other-service,kayaking,husband,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,8907 Tree Ave,3,NO,2,1,NO,Audi,A3,Y
IN,500/1000,FEMALE,PhD,protective-serv,dancing,other-relative,Vehicle Theft,Rear Collision,Trivial Damage,Police,NY,Arlington,6619 Flute Ave,1,NO,2,0,YES,Volkswagen,Passat,N
IL,100/300,FEMALE,Masters,exec-managerial,movies,wife,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,6011 Britain St,1,NO,0,0,NO,Mercedes,C300,N
OH,250/500,MALE,MD,other-service,bungie-jumping,own-child,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,5104 Francis Drive,3,NO,0,3,YES,Nissan,Pathfinder,N
IL,100/300,FEMALE,JD,farming-fishing,polo,husband,Vehicle Theft,Rear Collision,Trivial Damage,None,NY,Arlington,2280 4th Ave,1,NO,1,2,NO,BMW,M5,N
IN,100/300,MALE,College,armed-forces,basketball,not-in-family,Vehicle Theft,Rear Collision,Minor Damage,None,WV,Northbend,2644 Elm Drive,1,NO,2,1,YES,Toyota,Corolla,N
IN,100/300,FEMALE,JD,priv-house-serv,movies,husband,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,7466 MLK Ridge,3,YES,1,0,NO,Suburu,Forrestor,N
OH,250/500,MALE,PhD,machine-op-inspct,movies,not-in-family,Parked Car,Front Collision,Minor Damage,Police,VA,Northbend,5821 2nd St,1,NO,0,1,YES,Ford,F150,N
OH,100/300,MALE,PhD,craft-repair,skydiving,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,6723 Best Drive,1,YES,1,2,NO,Chevrolet,Silverado,N
IN,250/500,FEMALE,PhD,prof-specialty,chess,unmarried,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,4866 4th Hwy,3,NO,2,3,NO,Honda,CRV,N
IN,500/1000,FEMALE,Masters,adm-clerical,hiking,own-child,Parked Car,Rear Collision,Minor Damage,None,VA,Riverwood,5418 Britain Ave,1,NO,1,3,NO,Chevrolet,Silverado,N
IL,250/500,MALE,PhD,other-service,yachting,husband,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,4296 Pine Hwy,1,YES,0,1,NO,Saab,93,N
OH,250/500,FEMALE,MD,adm-clerical,kayaking,own-child,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,2299 1st St,3,NO,1,1,NO,Ford,Escape,N
IN,100/300,MALE,PhD,machine-op-inspct,base-jumping,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,6618 Cherokee Drive,3,YES,2,1,NO,Nissan,Maxima,Y
IL,500/1000,MALE,JD,handlers-cleaners,basketball,husband,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Springfield,7459 Flute St,3,NO,0,3,NO,Honda,Accord,N
IL,500/1000,MALE,High School,armed-forces,bungie-jumping,unmarried,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,3567 4th Drive,1,NO,0,3,YES,BMW,M5,N
OH,500/1000,MALE,JD,transport-moving,video-games,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Northbend,2457 Washington Ave,3,YES,2,2,YES,Suburu,Legacy,Y
OH,250/500,MALE,PhD,sales,chess,not-in-family,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,Riverwood,1269 Flute Drive,3,NO,0,0,NO,Ford,Escape,Y
IN,100/300,FEMALE,MD,exec-managerial,chess,other-relative,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Arlington,1218 Sky Hwy,3,YES,2,2,NO,Dodge,Neon,Y
IN,250/500,FEMALE,High School,tech-support,paintball,not-in-family,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Springfield,9169 Pine Ridge,1,YES,0,1,NO,Audi,A5,Y
OH,250/500,FEMALE,Associate,adm-clerical,reading,unmarried,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,Hillsdale,8538 Texas Lane,3,NO,1,1,NO,BMW,X6,N
OH,100/300,MALE,MD,machine-op-inspct,movies,own-child,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,5783 Oak Ave,1,NO,0,3,NO,Audi,A5,N
IN,500/1000,MALE,MD,other-service,kayaking,own-child,Parked Car,Rear Collision,Minor Damage,None,NC,Riverwood,7721 Washington Ridge,1,NO,0,1,NO,Ford,F150,N
OH,100/300,FEMALE,Associate,prof-specialty,sleeping,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Hillsdale,8006 Maple Hwy,2,NO,2,3,NO,Audi,A3,Y
OH,100/300,FEMALE,MD,armed-forces,cross-fit,not-in-family,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbrook,6751 Pine Ridge,1,NO,0,2,NO,Honda,Civic,Y
OH,250/500,FEMALE,Associate,sales,paintball,husband,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,2324 Texas Ridge,1,NO,1,2,NO,Chevrolet,Malibu,N
IN,100/300,FEMALE,College,transport-moving,golf,not-in-family,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Riverwood,7923 Elm Ave,3,NO,2,0,YES,Mercedes,C300,N
IL,100/300,FEMALE,Associate,sales,yachting,wife,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,Springfield,4755 Best Lane,3,YES,1,0,YES,BMW,X6,N
OH,100/300,FEMALE,High School,transport-moving,bungie-jumping,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Riverwood,5053 Tree Drive,3,NO,2,0,NO,Ford,Fusion,N
OH,500/1000,FEMALE,College,handlers-cleaners,golf,husband,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Springfield,2078 3rd Ave,3,NO,1,1,YES,Suburu,Legacy,N
IN,250/500,MALE,College,transport-moving,dancing,not-in-family,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Northbrook,2804 Best St,3,NO,0,2,NO,Audi,A3,N
OH,500/1000,FEMALE,JD,other-service,kayaking,wife,Vehicle Theft,Rear Collision,Minor Damage,None,SC,Springfield,7877 Sky Lane,1,YES,2,2,YES,Saab,95,N
OH,500/1000,FEMALE,PhD,handlers-cleaners,polo,unmarried,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,6530 Weaver Ave,1,NO,1,2,NO,BMW,M5,Y
OH,250/500,MALE,High School,exec-managerial,paintball,husband,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Arlington,3087 Oak Hwy,3,NO,1,2,NO,Accura,MDX,N
OH,500/1000,FEMALE,Masters,exec-managerial,video-games,wife,Vehicle Theft,Rear Collision,Trivial Damage,None,NC,Northbrook,7098 Lincoln Hwy,1,NO,2,1,NO,Accura,TL,N
IL,250/500,MALE,Masters,other-service,bungie-jumping,other-relative,Vehicle Theft,Rear Collision,Minor Damage,Police,NY,Northbrook,5124 Maple St,1,YES,2,2,NO,Nissan,Maxima,N
IN,250/500,MALE,High School,exec-managerial,video-games,wife,Vehicle Theft,Rear Collision,Trivial Damage,None,VA,Hillsdale,2333 Maple Lane,1,NO,0,3,YES,Volkswagen,Jetta,N
IN,500/1000,MALE,Masters,prof-specialty,movies,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,1012 5th Lane,2,NO,2,3,NO,Audi,A3,Y
OH,100/300,MALE,High School,transport-moving,board-games,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,7477 MLK Drive,3,YES,0,1,NO,Suburu,Legacy,N
IL,500/1000,FEMALE,Associate,priv-house-serv,yachting,husband,Multi-vehicle Collision,Front Collision,Minor Damage,Other,SC,Columbus,9489 3rd St,3,NO,2,1,NO,Ford,F150,N
IL,500/1000,FEMALE,MD,other-service,yachting,own-child,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,Springfield,2087 Apache Ave,1,NO,2,1,YES,BMW,3 Series,N
IL,500/1000,FEMALE,College,prof-specialty,kayaking,not-in-family,Parked Car,Front Collision,Trivial Damage,None,WV,Arlington,5540 Sky St,1,NO,0,1,YES,Dodge,Neon,N
IN,100/300,FEMALE,College,exec-managerial,exercise,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Columbus,7238 2nd St,3,YES,2,0,NO,Accura,MDX,Y
OH,250/500,FEMALE,High School,sales,board-games,own-child,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Arlington,8442 Britain Hwy,2,YES,1,1,NO,Saab,93,N
IL,250/500,FEMALE,Associate,tech-support,exercise,own-child,Single Vehicle Collision,Side Collision,Major Damage,Police,NY,Columbus,1331 Britain Hwy,1,NO,0,3,NO,Honda,Accord,Y
IL,250/500,MALE,PhD,farming-fishing,yachting,own-child,Parked Car,Rear Collision,Trivial Damage,None,WV,Springfield,5260 Francis Drive,1,NO,0,1,NO,BMW,X5,N
IN,100/300,FEMALE,MD,exec-managerial,exercise,not-in-family,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Riverwood,1135 Solo Lane,3,NO,1,1,NO,Ford,Fusion,N
IL,100/300,FEMALE,High School,machine-op-inspct,hiking,not-in-family,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,9737 Solo Hwy,3,NO,1,0,NO,Mercedes,ML350,N
IL,100/300,FEMALE,PhD,armed-forces,exercise,husband,Vehicle Theft,Front Collision,Minor Damage,None,OH,Northbrook,3289 Britain Drive,1,NO,2,0,YES,Toyota,Highlander,N
IN,500/1000,FEMALE,Associate,protective-serv,hiking,not-in-family,Single Vehicle Collision,Side Collision,Major Damage,Fire,VA,Springfield,6550 Andromedia St,1,YES,0,3,NO,Dodge,RAM,Y
IL,250/500,MALE,Masters,farming-fishing,skydiving,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,SC,Hillsdale,1679 2nd Hwy,4,YES,1,2,YES,Nissan,Pathfinder,Y
OH,250/500,FEMALE,College,machine-op-inspct,kayaking,wife,Parked Car,Rear Collision,Trivial Damage,None,WV,Columbus,3998 Flute St,1,NO,1,2,YES,Saab,95,N
IL,100/300,MALE,College,exec-managerial,reading,not-in-family,Vehicle Theft,Rear Collision,Trivial Damage,None,NC,Northbrook,2430 MLK Ave,1,NO,0,0,NO,Audi,A3,N
IN,100/300,FEMALE,College,protective-serv,yachting,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbend,7717 Britain Hwy,1,YES,0,0,NO,Saab,92x,N
IL,100/300,FEMALE,College,tech-support,exercise,unmarried,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,7773 Tree Hwy,1,YES,1,0,YES,Saab,95,N
IL,250/500,FEMALE,JD,prof-specialty,bungie-jumping,husband,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NC,Northbrook,2199 Texas Drive,3,NO,2,3,NO,Ford,Fusion,N
OH,100/300,FEMALE,Associate,tech-support,kayaking,other-relative,Parked Car,Front Collision,Minor Damage,Police,WV,Northbend,1028 Sky Lane,1,NO,1,1,NO,Toyota,Highlander,N
OH,500/1000,MALE,College,other-service,basketball,wife,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Northbend,4154 Lincoln Hwy,3,NO,0,0,NO,Chevrolet,Malibu,N
IL,100/300,MALE,College,prof-specialty,kayaking,husband,Vehicle Theft,Rear Collision,Minor Damage,None,WV,Columbus,8085 Andromedia St,1,YES,1,3,YES,Mercedes,E400,N
OH,500/1000,FEMALE,Associate,prof-specialty,basketball,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Police,VA,Northbend,4793 4th Ridge,3,NO,0,2,YES,Saab,95,Y
IN,500/1000,FEMALE,High School,handlers-cleaners,camping,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Columbus,7428 Sky Hwy,2,NO,1,0,NO,Volkswagen,Passat,N
IL,500/1000,FEMALE,PhD,machine-op-inspct,basketball,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,2306 5th Lane,1,NO,0,0,NO,Saab,93,Y
IN,500/1000,FEMALE,Masters,sales,chess,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NY,Springfield,3052 Weaver Ridge,3,NO,0,3,YES,Nissan,Ultima,Y
OH,250/500,FEMALE,College,prof-specialty,video-games,unmarried,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Riverwood,5211 Weaver Drive,1,NO,1,2,YES,Dodge,RAM,N
IN,100/300,MALE,PhD,craft-repair,dancing,unmarried,Single Vehicle Collision,Front Collision,Major Damage,Fire,NC,Springfield,7253 MLK St,1,YES,0,0,NO,Ford,F150,Y
IL,500/1000,MALE,High School,exec-managerial,polo,other-relative,Multi-vehicle Collision,Rear Collision,Total Loss,Other,WV,Columbus,1454 5th Ridge,3,NO,2,0,NO,BMW,X5,N
IN,100/300,MALE,MD,protective-serv,camping,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Other,VA,Hillsdale,5622 Best Ridge,2,NO,1,1,NO,Saab,93,N
OH,250/500,MALE,Associate,armed-forces,reading,other-relative,Vehicle Theft,Rear Collision,Minor Damage,None,VA,Northbrook,4574 Britain Hwy,1,YES,1,1,YES,Ford,F150,N
IN,100/300,MALE,MD,machine-op-inspct,hiking,other-relative,Multi-vehicle Collision,Side Collision,Total Loss,Other,NY,Riverwood,4539 Texas St,3,NO,0,1,NO,Accura,MDX,Y
IL,500/1000,FEMALE,PhD,machine-op-inspct,bungie-jumping,other-relative,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Hillsdale,8118 Elm Ridge,1,NO,0,3,NO,Suburu,Legacy,N
OH,500/1000,MALE,High School,exec-managerial,exercise,unmarried,Multi-vehicle Collision,Side Collision,Major Damage,Police,NY,Northbend,3814 Britain Drive,3,NO,2,2,NO,Toyota,Highlander,Y
IL,250/500,FEMALE,PhD,transport-moving,yachting,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Hillsdale,4614 MLK Ave,1,NO,1,3,YES,Ford,Fusion,N
OH,250/500,FEMALE,Associate,adm-clerical,camping,husband,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Arlington,1628 Best Drive,3,NO,0,1,NO,BMW,3 Series,N
IL,500/1000,MALE,High School,priv-house-serv,board-games,other-relative,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Hillsdale,8381 Solo Hwy,1,NO,2,0,NO,Volkswagen,Passat,N
IL,500/1000,FEMALE,MD,other-service,video-games,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Northbrook,2100 MLK St,1,NO,2,1,NO,Ford,Fusion,Y
IL,250/500,FEMALE,Masters,other-service,skydiving,not-in-family,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,VA,Columbus,5071 Flute Ridge,1,NO,0,1,YES,Nissan,Maxima,Y
OH,250/500,FEMALE,College,prof-specialty,movies,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Other,NC,Arlington,7551 Britain Lane,4,YES,1,0,NO,Accura,MDX,N
IL,100/300,FEMALE,JD,prof-specialty,paintball,not-in-family,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Northbend,2275 Best Lane,1,YES,1,1,NO,BMW,X5,N
IN,250/500,MALE,JD,craft-repair,dancing,unmarried,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Hillsdale,1598 3rd Drive,3,NO,2,3,YES,Ford,Escape,N
IL,100/300,MALE,MD,protective-serv,video-games,unmarried,Single Vehicle Collision,Side Collision,Total Loss,Other,WV,Columbus,7740 MLK St,1,NO,0,0,NO,Suburu,Impreza,N
IN,500/1000,FEMALE,High School,tech-support,exercise,own-child,Parked Car,Rear Collision,Minor Damage,Police,PA,Northbrook,1240 Tree Lane,1,NO,2,0,NO,BMW,M5,N
OH,100/300,MALE,College,farming-fishing,basketball,wife,Single Vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbend,8983 Francis Ridge,1,YES,0,3,YES,BMW,X5,Y
IL,250/500,FEMALE,Masters,sales,sleeping,husband,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Northbend,7756 Solo Drive,3,NO,1,2,NO,Saab,92x,Y
IN,250/500,MALE,JD,machine-op-inspct,camping,wife,Multi-vehicle Collision,Front Collision,Minor Damage,Other,NY,Arlington,9034 Weaver Ridge,3,YES,1,2,NO,Ford,Escape,N
IN,250/500,MALE,Masters,adm-clerical,paintball,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Other,WV,Columbus,1126 Texas Hwy,3,NO,2,2,NO,Dodge,RAM,N
OH,100/300,FEMALE,Masters,tech-support,exercise,unmarried,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Arlington,2808 Elm St,3,NO,0,1,NO,Nissan,Pathfinder,N
IL,500/1000,FEMALE,High School,machine-op-inspct,skydiving,wife,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,5061 Francis Ave,1,NO,2,1,NO,Jeep,Wrangler,N
OH,250/500,MALE,PhD,exec-managerial,basketball,unmarried,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,Northbend,4965 MLK Drive,1,NO,1,1,NO,BMW,3 Series,N
IN,250/500,FEMALE,College,exec-managerial,yachting,other-relative,Single Vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,8668 Flute St,1,NO,1,2,NO,Volkswagen,Passat,Y
IL,100/300,FEMALE,High School,sales,exercise,other-relative,Vehicle Theft,Rear Collision,Minor Damage,Police,VA,Riverwood,2577 Washington Drive,1,NO,0,0,NO,Ford,Escape,N
IL,250/500,FEMALE,PhD,tech-support,golf,not-in-family,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,7709 Rock Lane,3,NO,0,3,NO,BMW,X5,N
